# ============================================================
# LEVELLING.csv — Sistema de XP y subida de nivel de atributos
# ============================================================
# El sistema usa una curva XP universal para todos los atributos.
# No hace falta repetir la tabla para cada atributo.
#
# Columnas:
#   Category : XPCurve | XPYield
#   ID       : nivel de origen (para XPCurve) o fuente de XP (para XPYield)
#   Name     : descripcion
#   Value    : XP requerida para subir desde este nivel (XPCurve)
#              o XP ganada por dia trabajando en esta fuente (XPYield)
#   Attr     : atributo que se sube (solo para XPYield). "all" si aplica a todos
# ============================================================

Category;ID;Name;Value;Attr

# ============================================================
# CURVA DE XP — Universal para todos los atributos
# XP para subir del nivel N al N+1
# ============================================================
XPCurve;1;XP para subir nivel 1→2;10;all
XPCurve;2;XP para subir nivel 2→3;20;all
XPCurve;3;XP para subir nivel 3→4;40;all
XPCurve;4;XP para subir nivel 4→5;80;all
XPCurve;5;XP para subir nivel 5→6;160;all
XPCurve;6;XP para subir nivel 6→7;320;all
XPCurve;7;XP para subir nivel 7→8;640;all
XPCurve;8;XP para subir nivel 8→9;1280;all
XPCurve;9;XP para subir nivel 9→10;2560;all

# ============================================================
# XP GANADA POR DIA — Segun fuente de trabajo del colono
# ============================================================
# Recoleccion basica (sin edificio)
XPYield;wood_manual;XP Leñador manual por dia;0.5;woodcutting
XPYield;stone_manual;XP Cantero manual por dia;0.5;mining
XPYield;berries_manual;XP Recolector manual por dia;0.3;none

# Edificios de recursos
XPYield;lumbermill_t1;XP Aserradero T1 por dia;1.0;woodcutting
XPYield;lumbermill_t2;XP Aserradero T2 por dia;1.5;woodcutting
XPYield;lumbermill_t3;XP Aserradero T3 por dia;2.0;woodcutting
XPYield;quarry_t1;XP Cantera T1 por dia;1.0;mining
XPYield;quarry_t2;XP Cantera T2 por dia;1.5;mining
XPYield;quarry_t3;XP Cantera T3 por dia;2.0;mining

# Edificios de alimentos
XPYield;farm_t1;XP Granja T1 por dia;1.0;farming
XPYield;farm_t2;XP Granja T2 por dia;1.5;farming
XPYield;farm_t3;XP Granja T3 por dia;2.0;farming
XPYield;granary_t1;XP Granero T1 por dia;1.0;farming
XPYield;granary_t2;XP Granero T2 por dia;1.5;farming
XPYield;granary_t3;XP Granero T3 por dia;2.0;farming

# Cocinas
XPYield;bonfire_t1;XP Fogata T1 por dia;1.0;cooking
XPYield;bonfire_t2;XP Caldero T2 por dia;1.5;cooking
XPYield;bonfire_t3;XP Cocina T3 por dia;2.0;cooking

# Comercio y construccion
XPYield;market_t1;XP Mercado T1 por dia;1.0;trading
XPYield;market_t2;XP Mercado T2 por dia;1.5;trading
XPYield;market_t3;XP Mercado T3 por dia;2.0;trading
XPYield;construction;XP por dia en construccion;1.2;construction

# Crafteo (Paso E/G/K)
XPYield;smithy_t1;XP Taller T1 por dia;1.0;woodcutting
XPYield;smithy_t2;XP Taller T2 por dia;1.5;woodcutting
XPYield;forge_t1;XP Forja T1 por dia;1.0;mining
XPYield;forge_t2;XP Forja T2 por dia;1.5;mining
XPYield;mill_t1;XP Molino T1 por dia;1.0;farming
XPYield;mill_t2;XP Molino T2 por dia;1.5;farming

# Misiones (Paso C) — XP ganada al completar (no por dia)
XPYield;mission_success;XP extra por mision exitosa (multiplica base);1.0;variable
XPYield;mission_fail;XP parcial por mision fallida (multiplica base);0.5;variable
