# ============================================================;;;;
# MECHANICS.csv — Constantes de mecánicas del juego;;;;
# Centraliza TODOS los valores numéricos hardcodeados en el JS;;;;
# ============================================================;;;;
# Columnas:;;;;
#   Category : grupo de la mecánica;;;;
#   ID       : clave usada en el código (CONFIG.Category.ID.value);;;;
#   Name     : descripción legible;;;;
#   Value    : valor numérico;;;;
#   Notes    : notas sobre el impacto de cambiar este valor;;;;
# ============================================================;;;;
;;;;
Category;ID;Name;Value;Notes
;;;;
# ============================================================;;;;
# COLONOS — Atributos y generacion;;;;
# ============================================================;;;;
# Rango válido de atributos: 1-10;;;;
"# Valor base (nivel ""normal""): 3";;;;
# La formula de escala de produccion es: 1 + (nivel - base) * escala_por_nivel;;;;
Colonist;attr_base;Nivel base de atributo;3;"El nivel ""neutro"" que no da ni quita produccion"
Colonist;attr_scale;Escala de produccion por nivel;0.1;+10% produccion por nivel sobre la base. Nivel 6 = +30%
Colonist;attr_min;Nivel minimo posible;1;No bajar de 1 para evitar produccion 0
Colonist;attr_max;Nivel maximo posible;10;Techo de atributo
Colonist;efficiency_min;Eficiencia minima de colono;0.15;Aunque este hambriento y sin casa, produce al menos 15%
Colonist;candidates_pool;Candidatos disponibles simultaneamente;3;Cuantos aparecen en la pantalla de contratacion
Colonist;specialist_attr_main;Atributo principal de especialista;9;Nivel minimo del atributo principal en colonos especialistas (rango 9-10)
Colonist;specialist_attr_secondary;Atributos secundarios de especialista;2;Nivel maximo de los atributos secundarios en especialistas (rango 1-3)
Colonist;specialist_min;Nivel minimo de especialidad;8;Nivel minimo del atributo principal de colono especialista
Colonist;specialist_max;Nivel maximo de especialidad;10;Nivel maximo del atributo principal de colono especialista
;;;;
# ============================================================;;;;
# EFICIENCIA — Penalizaciones y bonificaciones;;;;
# ============================================================;;;;
Efficiency;no_house;Penalizacion por falta de casa;0.4;-40% eficiencia si el colono no tiene casa asignada
Efficiency;no_food;Penalizacion por hambre;0.45;-45% eficiencia si el colono esta hambriento
Efficiency;player_build_speed;Velocidad del jugador construyendo;0.5;El jugador contribuye 0.25 velocidades base al construir
Efficiency;worker_build_speed;Velocidad de colono construyendo;0.5;Cada colono asignado a construccion contribuye 0.5 * attr * eficiencia
;;;;
# ============================================================;;;;
# PRODUCCION — Multiplicadores de tier para edificios;;;;
# La formula es: yield_base * tier_mult[tier] * attr_mult * eficiencia;;;;
# ============================================================;;;;
TierMult;lumbermill_t1;Multiplicador Aserradero T1;1;Base
TierMult;lumbermill_t2;Multiplicador Aserradero T2;1;+10% sobre T1
TierMult;lumbermill_t3;Multiplicador Aserradero T3;1;+20% sobre T1
;;;;
TierMult;quarry_t1;Multiplicador Cantera T1;1;
TierMult;quarry_t2;Multiplicador Cantera T2;1.1;
TierMult;quarry_t3;Multiplicador Cantera T3;1.2;
;;;;
TierMult;bonfire_t1;Multiplicador Fogata T1;1;
TierMult;bonfire_t2;Multiplicador Caldero T2;1.1;
TierMult;bonfire_t3;Multiplicador Cocina T3;1.3;
;;;;
TierMult;farm_t1;Multiplicador Granja T1;1;Yield de cosecha
TierMult;farm_t2;Multiplicador Granja T2;1.5;+50% cosecha sobre T1
