# =======================================================================================================================
# ORDERS.csv — Plantillas de Pedidos Posibles
# =======================================================================================================================
# Columnas:
#   Category       : Order
#   ID             : Identificador de la plantilla
#   Name           : Nombre descriptivo en la interfaz
#   Req_Resource   : Recurso solicitado
#   Req_Min        : Cantidad mínima solicitada
#   Req_Max        : Cantidad máxima solicitada
#   Reward_1_Type  : Recurso/recompensa 1 (reputation, gold, etc.)
#   Reward_1_Min   : Cantidad mínima recompensa 1
#   Reward_1_Max   : Cantidad máxima recompensa 1
#   Reward_2_Type  : Recurso/recompensa 2 (gold, seeds_*, etc.)
#   Reward_2_Min   : Cantidad mínima recompensa 2
#   Reward_2_Max   : Cantidad máxima recompensa 2
#   Reward_3_Type  : Recurso/recompensa 3 (none, etc.)
#   Reward_3_Min   : Cantidad mínima recompensa 3
#   Reward_3_Max   : Cantidad máxima recompensa 3
#   Weight         : Peso relativo de probabilidad (frecuencia de aparición)
# =======================================================================================================================
Category;ID;Name;Req_Resource;Req_Min;Req_Max;Reward_1_Type;Reward_1_Min;Reward_1_Max;Reward_2_Type;Reward_2_Min;Reward_2_Max;Reward_3_Type;Reward_3_Min;Reward_3_Max;Weight
Order;order_wood;Pedido de Madera;wood;20;100;reputation;4;12;gold;5;15;none;0;0;20
Order;order_stone;Pedido de Piedra;stone;20;100;reputation;4;12;gold;5;15;none;0;0;20
Order;order_wheat;Pedido de Trigo;wheat;20;80;reputation;2;8;gold;2;8;none;0;0;15
Order;order_potato;Pedido de Patata;potato;20;80;reputation;2;8;gold;2;8;none;0;0;15
Order;order_carrot;Pedido de Zanahoria;carrot;20;80;reputation;2;8;gold;2;8;none;0;0;15
Order;order_berries;Pedido de Bayas;berries;15;60;reputation;2;6;gold;1;5;none;0;0;15
Order;order_cooked_wheat;Pedido de Trigo Cocinado;cooked_wheat;10;30;reputation;6;16;gold;10;25;wheat_seeds;1;3;10
Order;order_cooked_potato;Pedido de Patata Cocinada;cooked_potato;10;30;reputation;6;16;gold;10;25;potato_seeds;1;3;10
Order;order_cooked_carrot;Pedido de Zanahoria Cocinada;cooked_carrot;10;30;reputation;6;16;gold;10;25;carrot_seeds;1;3;10
Order;order_wheat_seeds;Pedido de Semillas de Trigo;wheat_seeds;15;50;reputation;4;10;gold;5;15;none;0;0;5
Order;order_potato_seeds;Pedido de Semillas de Patata;potato_seeds;15;50;reputation;4;10;gold;5;15;none;0;0;5
Order;order_carrot_seeds;Pedido de Semillas de Zanahoria;carrot_seeds;15;50;reputation;4;10;gold;5;15;none;0;0;5
