# ============================================================;;;
# TIMINGS.csv — Todos los tiempos del juego (en días de juego);;;
# ============================================================;;;
# Columnas:;;;
#   Category : Cycle | Construction | Crop | Gather | System;;;
#   ID       : identificador único en código (igual que buildings.csv cuando aplique);;;
#   Name     : descripción legible;;;
#   Duration : duración en días de juego (excepto Cycle que usa segundos reales);;;
# ============================================================;;;
;;;
Category;ID;Name;Duration
;;;
# --- CICLO DÍA/NOCHE (segundos reales, no días de juego) ---;;;
Cycle;day_duration;Duración del Día (segundos reales);900
Cycle;night_duration;Duración de la Noche (segundos reales);300
Cycle;gather_cooldown;Cooldown Recolección Manual (días de juego);10
Cycle;candidate_rotation;Rotación Automática de Candidatos (días);6300
;;;
# --- CONSTRUCCIÓN DE EDIFICIOS ---;;;
Construction;townhall;Construcción Ayuntamiento T1;840
Construction;townhall_t2;Mejora Ayuntamiento T2;1680
Construction;townhall_t3;Mejora Ayuntamiento T3;3360
Construction;basic_house;Construcción Choza;840
Construction;upgraded_house;Mejora Choza → Cabaña;1680
Construction;luxury_house;Mejora Cabaña → Casa Grande;3360
Construction;lumbermill;Construcción Aserradero;1680
Construction;lumbermill_t2;Mejora Aserradero T2;3360
Construction;lumbermill_t3;Mejora Aserradero T3;6720
Construction;quarry;Construcción Cantera;1680
Construction;quarry_t2;Mejora Cantera T2;3360
Construction;quarry_t3;Mejora Cantera T3;6720
Construction;farm;Construcción Granja;1680
Construction;farm_t2;Mejora Granja T2;3360
Construction;farm_t3;Mejora Granja T3;6720
Construction;granary;Construcción Granero;5040
Construction;granary_t2;Mejora Granero T2;10080
Construction;granary_t3;Mejora Granero T3;20160
Construction;bonfire;Construcción Fogata;840
Construction;bonfire_t2;Mejora Fogata → Caldero;1680
Construction;bonfire_t3;Mejora Caldero → Cocina;3360
Construction;market;Construcción Mercado;10080
Construction;market_t2;Mejora Mercado T2;20160
Construction;market_t3;Mejora Mercado T3;40320
Construction;smithy;Construcción Taller del Herrero;5040
Construction;smithy_t2;Mejora Taller T2;10080
Construction;forge;Construcción Forja;5040
Construction;forge_t2;Mejora Forja T2;10080
Construction;mill;Construcción Molino;10080
Construction;mill_t2;Mejora Molino T2;20160
Construction;armory;Construcción Armería;20160
Construction;well;Construcción Pozo T1;5
Construction;well_t2;Mejora Pozo T2;10
Construction;warehouse_wood;Construcción Almacén Madera;20
Construction;warehouse_wood_t2;Mejora Almacén Madera T2;40
Construction;warehouse_wood_t3;Mejora Almacén Madera T3;80
Construction;warehouse_stone;Construcción Almacén Piedra;20
Construction;warehouse_stone_t2;Mejora Almacén Piedra T2;40
